 -5. 2.5
 5. 2.5
 -4.9 2.45
 4.9 2.45
 -4.8 2.4
 4.8 2.4
 -4.7000003 2.3500001
 4.7000003 2.3500001
 -4.6 2.3
 4.6 2.3
 -4.5 2.25
 4.5 2.25
 -4.4 2.2
 4.4 2.2
 -4.3 2.15
 4.3 2.15
 -4.2000003 2.1000001
 4.2000003 2.1000001
 -4.1 2.05
 4.1 2.05
 -4. 2.
 4. 2.
 -3.9 1.95
 3.9 1.95
 -3.8 1.9
 3.8 1.9
 -3.7 1.85
 3.7 1.85
 -3.6000001 1.8000001
 3.6000001 1.8000001
 -3.5 1.75
 3.5 1.75
 -3.4 1.7
 3.4 1.7
 -3.3 1.65
 3.3 1.65
 -3.2 1.6
 3.2 1.6
 -3.1000001 1.5500001
 3.1000001 1.5500001
 -3. 1.5
 3. 1.5
 -2.9 1.45
 2.9 1.45
 -2.8 1.4
 2.8 1.4
 -2.7 1.35
 2.7 1.35
 -2.6000001 1.3000001
 2.6000001 1.3000001
 -2.5 1.25
 2.5 1.25
 -2.4 1.2
 2.4 1.2
 -2.3 1.15
 2.3 1.15
 -2.2 1.1
 2.2 1.1
 -2.1000001 1.0500001
 2.1000001 1.0500001
 -2. 1.
 2. 1.
 -1.9 0.95
 1.9 0.95
 -1.8000001 0.90000004
 1.8000001 0.90000004
 -1.7 0.85
 1.7 0.85
 -1.6 0.8
 1.6 0.8
 -1.5 0.75
 1.5 0.75
 -1.4 0.7
 1.4 0.7
 -1.3000001 0.65000004
 1.3000001 0.65000004
 -1.2 0.6
 1.2 0.6
 -1.1 0.55
 1.1 0.55
 -1. 0.5
 1. 0.5
 -0.90000004 0.45000002
 0.90000004 0.45000002
 -0.8 0.4
 0.8 0.4
 -0.7 0.35
 0.7 0.35
 -0.6 0.3
 0.6 0.3
 -0.5 0.25
 0.5 0.25
 -0.4 0.2
 0.4 0.2
 -0.3 0.15
 0.3 0.15
 -0.2 0.1
 0.2 0.1
 -0.1 0.05
 0.1 0.05
